Airportname,Year,longitude,latitude,month,value
Syktyvkar,2018,50.851293,61.663805,1,43.97
Tiksi,2018,128.888094,71.698596,1,32.61
Tomsk (Bogashevo),2018,85.209517,56.388412,1,105.65
Ust-Tsilma,2018,124.760632,55.282031,1,0.0
Tyumen (Roschino),2018,65.348628,57.181514,1,229.6
Ufa,2018,55.883529,54.566329,1,275.02
Khabarovsk (MVL),2018,135.171082,48.525706,1,1.42
Khabarovsk (New),2018,135.171082,48.525706,1,1413.91
Khanty-Mansiysk,2018,69.095798,61.026143999999995,1,26.0
Khatanga,2018,102.473016,71.978434,1,119.6
Herpuchi,2018,138.82439499999998,52.976379,1,0.0
Chelyabinsk (Balandino),2018,61.50928199999999,55.298164,1,201.43
Reads (tub),2018,113.30649199999999,52.020464000000004,1,176.24
Çumikan,2018,135.28347,54.69673,1,0.0
Shakhtars'k,2018,142.076602,49.189684,1,0.0
Ekimçan,2018,132.950411,53.074422999999996,1,0.0
Yuzhno-(Khomutovo),2018,142.723677,46.886967,1,590.83
Yakutsk,2018,129.750225,62.08659399999999,1,507.45
Yamburg,2018,75.09778299999999,67.980026,1,0.0
Yaroslavl (Tunoshna),2018,40.170054,57.56231,1,240.67
Abakan,2017,91.39973499999999,53.751351,1,48.36
Anapa (Vitjazevo),2017,37.341511,45.003748,1,40.52
Arkhangelsk (Talagy),2017,40.714892,64.596138,1,93.8
Astrakhan (Narimanovo),2017,47.999896,46.287344,1,48.55
Novy Urengoy,2017,66.694583,63.697412,1,0.0
Blagoveshchensk,2017,127.40753600000001,50.42238,1,212.5
Bugulma,2017,52.79030600000001,54.634026,1,1.94
Vladivostok (Knevichi),2017,132.16510300000002,43.396702000000005,1,1362.31
Volgograd (Gumrak),2017,44.356743,48.792276,1,53.0
Vorkuta,2017,64.00447,67.49024399999999,1,8.02
Voronezh (Chertovitskoe),2017,39.225359000000005,51.812576,1,10.31
Ekaterinburg (Koltsovo),2017,60.802263,56.75025600000001,1,1136.49
Ivanovo (Yuzhny),2017,40.943709999999996,56.942303,1,0.04
Irkutsk,2017,104.355777,52.273103000000006,1,551.61
Kazan,2017,49.298590999999995,55.608089,1,135.6
Kemerovo,2017,86.118863,55.28199,1,233.61
Kogalym,2017,74.5295,62.195565,1,10.0
Komsomolsk-on-Amur,2017,136.929004,50.403351,1,152.9
Krasnodar (Paszkowski),2017,39.139669,45.033923,1,285.36
Krasnoyarsk (Emelyanovo),2017,92.486391,56.180578000000004,1,721.13
red,2017,94.40495,51.676108,1,0.59
Zabaykalsk,2017,114.831553,60.722584999999995,1,22.71
Magadan (Falcon),2017,150.73116000000002,59.914272,1,488.0
Mineral water,2017,43.087648,44.217799,1,95.32
Peaceful,2017,114.02243100000001,62.531381999999994,1,504.27
Moscow (Vnukovo),2017,37.295014,55.608562,1,3194.88
Moscow (Domodedovo),2017,37.767995,55.43716800000001,1,7772.66
